Country,Global Biodiversity Index,Bird Species,Amphibian Species,Fish Species,Mammal Species,Reptile Species,Plant Species
Brazil,512.34,1816,1141,4738,693,847,34387
Indonesia,418.78,1723,383,4813,729,773,19232
Colombia,369.76,1863,812,2105,477,634,24025
China,365.84,1285,540,3476,622,554,31362
Mexico,342.47,1105,411,2629,533,988,23385
Australia,337.18,725,245,4992,355,1131,19324
Peru,330.12,1861,655,1583,490,510,19812
India,301.63,1212,446,2601,440,715,45000
Ecuador,291.58,1629,659,1111,392,492,18466
USA,280.13,844,326,3081,531,556,15500
Venezuela,273.39,1386,365,1735,376,419,30000
Papua New Guinea,226.57,743,416,2884,282,384,13634
Myanmar,221.77,1034,540,1088,304,364,16000
Vietnam,216.97,835,263,2423,313,512,8500
Malaysia,214.71,721,278,1951,348,502,14060
DRC,214.43,1110,227,1528,465,313,8860
Tanzania,213.10,1074,207,1773,412,346,10100
Bolivia,209.55,1435,259,407,382,315,14729
South Africa,207.94,762,132,2094,331,421,21250
Thailand,200.77,936,153,2150,314,468,6600
Argentina,198.74,1001,174,1-26,390,462,10221
Philippines,186.82,594,116,3369,221,365,10107
Kenya,179.72,1057,115,1060,424,272,6506
Cameroon,172.41,888,226,1064,351,288,6883
Panama,170.54,885,228,1428,252,279,10462
Madagascar,162.29,248,377,1197,257,444,12000
Angola,160.67,920,106,968,331,310,6735
Costa Rica,158.43,843,212,1124,240,262,11000
Japan,153.58,447,95,4098,164,97,5565
Guinea,153.43,635,80,807,241,648,4000
Mozambique,144.30,675,90,1780,265,225,5692
Guatemala,137.94,699,165,905,219,225,8681
Uganda,136.65,998,62,271,362,284,4932
Honduras,135.95,711,149,1032,209,174,7188
Nigeria,135.87,864,119,775,294,282,3378
Guyana,131.65,793,135,996,236,207,6500
Russia,129.13,660,31,966,333,175,12500
Ethiopia,128.21,821,78,173,311,88,6603
Sudan,124.29,917,13,485,255,244,3137
Congo,122.96,614,76,835,232,279,2403
Nicaragua,118.18,685,75,1076,200,354,5796
Suriname,117.91,696,114,1046,207,197,5100
Laos,114.60,700,107,572,215,156,6200
Ghana,114.56,681,90,696,262,200,2971
Zambia,113.74,734,88,412,268,180,3309
Namibia,111.11,599,45,663,223,190,4334
CAR,107.15,720,58,200,248,281,5000
Iran,106.71,474,22,678,211,205,7500
Somalia,104.49,571,35,845,194,293,4625
Pakistan,104.35,612,23,724,213,232,4950
Gabon,104.02,604,97,804,202,210,5236
Nepal,102.56,822,58,203,190,132,6973
Paraguay,102.33,690,80,266,181,148,7851
Ivory Coast,99.25,671,85,676,265,189,3689
Cambodia,99.09,515,54,934,170,6,5000
Canada,97.59,496,46,1099,254,197,3893
Sri Lanka,96.92,376,121,1126,124,50,3314
Malawi,95.22,634,77,474,211,246,3340
Zimbabwe,94.12,628,57,144,216,126,4440
Turkey,92.15,393,37,835,171,186,10001
Senegal,90.11,558,40,787,196,124,2086
Togo,87.35,573,35,566,173,158,3085
Bangladesh,87.33,604,43,578,132,144,6000
Benin,85.08,551,41,598,175,134,2807
Liberia,85.00,536,60,612,192,107,2000
Chile,84.76,434,58,775,151,143,5155
Beliza,83.54,531,37,650,148,140,4192
Gambia,80.25,462,28,580,122,88,11600
Rwanda,80.08,636,42,77,221,80,2288
El Salvador,78.55,495,30,588,156,135,2911
Brunei,77.39,415,12,500,135,42,15000
Cuba,76.44,294,71,1103,59,167,6522
Equatorial Guinea,75.06,434,51,569,181,75,3049
Spain,74.49,383,39,804,141,75,5800
Botswana,72.77,535,36,84,173,160,920
Burundi,71.43,597,28,245,159,67,2950
France,70.58,358,43,803,147,51,4700
Bhutan,69.14,618,40,52,111,91,5603
Mali,69.12,566,22,140,148,127,1700
Egypt,67.98,379,10,946,108,110,2250
Italy,67.71,356,48,621,135,60,5590
Morocco,67.26,342,13,735,128,106,4200
Uruguay,66.75,409,50,725,107,79,2911
Mauritania,65.74,472,12,710,109,97,1100
Chad,65.27,526,20,138,140,113,2288
Guinea-Bissau,65.06,453,21,676,127,65,1507
Greece,64.11,347,26,644,119,76,4992
Trinidad and Tobago,64.05,397,40,988,112,5,2500
Saudi Arabia,63.32,391,7,860,84,109,2290
Kazakhstan,63.16,439,15,116,165,52,6000
Israel,62.66,388,10,701,111,93,2380
Eritrea,62.51,544,17,363,65,97,4850
S. Korea,62.32,361,20,1111,76,37,3632
Oman,62.07,324,2,1048,88,109,1239
Afghanistan,60.93,392,11,125,139,114,5000
Singapore,60.43,367,29,720,64,132,2282
Solomon Islands,57.63,245,19,983,68,82,4500
Yemen,57.59,344,6,751,94,114,400
Algeria,57.36,319,16,474,111,108,3139
Burkina Faso,57.04,452,23,122,133,80,2067
Niger,55.12,438,11,107,140,105,8
Iraq,53.75,375,8,319,83,117,3300
Syria,53.68,348,7,398,95,102,3000
Georgia,53.17,295,12,133,103,153,4100
Haiti,52.54,255,57,527,35,123,5242
Dominican Republic,52.39,245,50,530,42,116,5657
New Zealand,52.13,231,8,1111,44,82,2400
Jordan,52.12,332,5,557,80,115,1072
Portugal,51.23,311,23,557,99,42,2800
Hong Kong,50.79,219,22,1096,31,69,3300
Croatia,49.87,307,18,420,100,39,4288
Eswatini,49.23,464,38,57,107,1,3500
Mongolia,49.16,361,6,81,150,33,2850
Ukraine,49.00,318,22,239,113,26,5100
Azerbaijan,48.36,348,10,85,108,65,4500
Timor-Leste,47.52,236,6,1089,46,29,2500
Bulgaria,46.92,336,20,221,100,40,3750
Tunisia,45.94,310,8,364,86,73,2100
Puerto Rico,45.10,262,26,802,12,77,2912
Uzbekistan,44.94,353,3,86,90,60,4374
Romania,44.31,322,20,207,100,26,3515
Albania,44.09,299,17,419,80,41,2450
Germany,43.73,312,21,245,109,16,2660
Palau,43.24,114,1,1552,20,34,130
Montenegro,43.07,311,17,329,87,30,2550
Bahamas,42.53,244,5,886,38,46,1350
Serbia,42.18,312,22,93,98,27,4000
Fiji,41.85,108,3,1304,24,43,1769
DPRK,41.55,323,17,304,86,7,2898
UAE,41.20,294,2,517,52,74,830
Kyrgyzstan,41.01,329,4,31,80,55,4500
Slovenia,40.60,290,19,397,93,23,430
Libya,40.47,267,3,283,81,68,2118
Armenia,40.32,297,7,54,93,53,3600
Lebanon,40.06,296,6,326,61,56,2612
Jamaica,39.95,184,25,634,44,49,3308
Djibouti,39.52,290,5,397,85,35,554
Tajikistan,39.28,327,5,4,72,54,4513
Micronesia,39.11,128,3,1238,22,41,364
Bosnia and Herzegovina,38.30,281,17,338,88,2,1859
Austria,37.70,302,20,93,92,17,2580
UK,37.67,267,15,422,81,5,1390
Poland,37.02,291,18,144,92,11,2300
Switzerland,36.52,285,20,88,90,18,2590
Norway,36.45,255,6,292,84,9,2800
North Macedonia,35.71,321,13,56,83,2,3200
Sweden,35.42,278,12,247,80,7,2000
Hungary,34.99,286,17,83,86,16,2250
Kuwait,34.39,293,1,526,31,39,234
Netherlands,34.30,271,17,211,75,18,1481
Slovakia,34.23,294,18,92,93,14,713
Czechia,34.03,287,21,80,80,13,2100
Denmark,33.07,275,15,221,71,6,1583
Moldova,33.03,236,13,62,63,15,5513
Mauritius,32.95,78,2,1106,19,32,685
Tonga,32.51,51,2,1143,20,30,1020
Maldives,32.31,84,19,1124,24,11,583
Belgium,32.16,264,8,194,70,10,1340
Guam,32.01,107,7,1009,15,22,931
US Virgin Islands,30.53,150,3,569,39,37,1272
Ireland,30.33,209,6,399,53,19,1309
Finland,29.72,264,14,102,77,6,1300
Belarus,29.52,263,12,58,73,7,1638
Latvia,29.52,268,12,114,64,7,1648
Cayman Islands,29.03,201,4,473,9,22,3602
Vanuatu,28.59,87,1,847,27,38,150
Cyprus,28.35,276,4,279,32,32,256
Saint Lucia,28.20,205,4,494,24,20,1300
Curaçao,28.14,159,3,617,40,8,541
Dominica,28.07,181,4,500,33,19,1226
Qatar,28.05,234,2,505,18,25,355
Lithuania,27.95,243,13,98,65,8,1498
Estonia,27.88,254,12,72,65,6,1583
Lesotho,27.68,249,18,12,62,19,1591
Samoa,27.38,46,1,966,20,22,541
Aruba,27.16,153,3,573,38,15,460
Marshall Islands,26.52,61,1,959,17,9,563
Barbados,26.50,186,2,527,29,11,572
Turks and Caicos,26.17,240,2,379,36,6,32
Bahrain,26.01,222,1,515,16,11,357
Palestine,25.96,263,8,1,49,4,2780
Grenada,25.53,114,5,496,34,33,1000
Antigua and Barbuda,25.40,177,3,501,26,4,1158
St. Vincent and the Grenadines,25.35,170,5,484,29,5,1150
Saint Kitts and Nevis,24.79,194,3,460,24,3,926
Comoros,23.29,101,1,563,31,9,1000
Malta,22.97,205,2,321,22,10,1000
Bermuda,22.62,127,1,467,24,10,1500
Cabo Verde,21.40,86,1,629,26,2,240
Liechtenstein,20.68,176,9,14,52,8,1600
Luxembourg,20.18,187,16,14,54,7,295
Macao,17.20,40,5,148,83,3,0
São Tomé and Principe,17.14,90,9,353,12,17,895
Andorra,16.59,126,2,7,46,10,1595
Kiribati,16.45,39,4,535,19,3,290
Iceland,15.93,109,0,299,24,1,490
Monaco,12.37,24,2,287,32,3,347
Sint Maarten,9.86,141,2,4,8,2,522
Tuvalu,7.05,18,0,196,8,6,362
Nauru,6.43,20,0,86,14,10,573
San Marino,5.47,18,1,0,24,1,714